State1,State2,SKU
Don't Oklahoma,My Alabama,D-OK-M-AL
Don't Oklahoma,My Alaska,D-OK-M-AK
Don't Oklahoma,My Arizona,D-OK-M-AZ
Don't Oklahoma,My Arkansas,D-OK-M-AR
Don't Oklahoma,My California,D-OK-M-CA
Don't Oklahoma,My Colorado,D-OK-M-CO
Don't Oklahoma,My Connecticut,D-OK-M-CT
Don't Oklahoma,My Delaware,D-OK-M-DE
Don't Oklahoma,My Florida,D-OK-M-FL
Don't Oklahoma,My Georgia,D-OK-M-GA
Don't Oklahoma,My Hawaii,D-OK-M-HI
Don't Oklahoma,My Idaho,D-OK-M-ID
Don't Oklahoma,My Illinois,D-OK-M-IL
Don't Oklahoma,My Indiana,D-OK-M-IN
Don't Oklahoma,My Iowa,D-OK-M-IA
Don't Oklahoma,My Kansas,D-OK-M-KS
Don't Oklahoma,My Kentucky,D-OK-M-KY
Don't Oklahoma,My Louisiana,D-OK-M-LA
Don't Oklahoma,My Maine,D-OK-M-ME
Don't Oklahoma,My Maryland,D-OK-M-MD
Don't Oklahoma,My Massachusetts,D-OK-M-MA
Don't Oklahoma,My Michigan,D-OK-M-MI
Don't Oklahoma,My Minnesota,D-OK-M-MN
Don't Oklahoma,My Mississippi,D-OK-M-MS
Don't Oklahoma,My Missouri,D-OK-M-MO
Don't Oklahoma,My Montana,D-OK-M-MT
Don't Oklahoma,My Nebraska,D-OK-M-NE
Don't Oklahoma,My Nevada,D-OK-M-NV
Don't Oklahoma,My New Hampshire,D-OK-M-NH
Don't Oklahoma,My New Jersey,D-OK-M-NJ
Don't Oklahoma,My New Mexico,D-OK-M-NM
Don't Oklahoma,My New York,D-OK-M-NY
Don't Oklahoma,My North Carolina,D-OK-M-NC
Don't Oklahoma,My North Dakota,D-OK-M-ND
Don't Oklahoma,My Ohio,D-OK-M-OH
Don't Oklahoma,My Oklahoma,D-OK-M-OK
Don't Oklahoma,My Oregon,D-OK-M-OR
Don't Oklahoma,My Pennsylvania,D-OK-M-PA
Don't Oklahoma,My Rhode Island,D-OK-M-RI
Don't Oklahoma,My South Carolina,D-OK-M-SC
Don't Oklahoma,My South Dakota,D-OK-M-SD
Don't Oklahoma,My Tennessee,D-OK-M-TN
Don't Oklahoma,My Texas,D-OK-M-TX
Don't Oklahoma,My Utah,D-OK-M-UT
Don't Oklahoma,My Vermont,D-OK-M-VT
