State1,State2,SKU
Don't South Dakota,My Alabama,D-SD-M-AL
Don't South Dakota,My Alaska,D-SD-M-AK
Don't South Dakota,My Arizona,D-SD-M-AZ
Don't South Dakota,My Arkansas,D-SD-M-AR
Don't South Dakota,My California,D-SD-M-CA
Don't South Dakota,My Colorado,D-SD-M-CO
Don't South Dakota,My Connecticut,D-SD-M-CT
Don't South Dakota,My Delaware,D-SD-M-DE
Don't South Dakota,My Florida,D-SD-M-FL
Don't South Dakota,My Georgia,D-SD-M-GA
Don't South Dakota,My Hawaii,D-SD-M-HI
Don't South Dakota,My Idaho,D-SD-M-ID
Don't South Dakota,My Illinois,D-SD-M-IL
Don't South Dakota,My Indiana,D-SD-M-IN
Don't South Dakota,My Iowa,D-SD-M-IA
Don't South Dakota,My Kansas,D-SD-M-KS
Don't South Dakota,My Kentucky,D-SD-M-KY
Don't South Dakota,My Louisiana,D-SD-M-LA
Don't South Dakota,My Maine,D-SD-M-ME
Don't South Dakota,My Maryland,D-SD-M-MD
Don't South Dakota,My Massachusetts,D-SD-M-MA
Don't South Dakota,My Michigan,D-SD-M-MI
Don't South Dakota,My Minnesota,D-SD-M-MN
Don't South Dakota,My Mississippi,D-SD-M-MS
Don't South Dakota,My Missouri,D-SD-M-MO
Don't South Dakota,My Montana,D-SD-M-MT
Don't South Dakota,My Nebraska,D-SD-M-NE
Don't South Dakota,My Nevada,D-SD-M-NV
Don't South Dakota,My New Hampshire,D-SD-M-NH
Don't South Dakota,My New Jersey,D-SD-M-NJ
Don't South Dakota,My New Mexico,D-SD-M-NM
Don't South Dakota,My New York,D-SD-M-NY
Don't South Dakota,My North Carolina,D-SD-M-NC
Don't South Dakota,My North Dakota,D-SD-M-ND
Don't South Dakota,My Ohio,D-SD-M-OH
Don't South Dakota,My Oklahoma,D-SD-M-OK
Don't South Dakota,My Oregon,D-SD-M-OR
Don't South Dakota,My Pennsylvania,D-SD-M-PA
Don't South Dakota,My Rhode Island,D-SD-M-RI
Don't South Dakota,My South Carolina,D-SD-M-SC
Don't South Dakota,My South Dakota,D-SD-M-SD
Don't South Dakota,My Tennessee,D-SD-M-TN
Don't South Dakota,My Texas,D-SD-M-TX
Don't South Dakota,My Utah,D-SD-M-UT
Don't South Dakota,My Vermont,D-SD-M-VT
Don't South Dakota,My Virginia,D-SD-M-VA
Don't South Dakota,My Washington,D-SD-M-WA
